Provider State,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths
AK,2.0,25.0,1.0,34.0,1.0,56.0,3.0,64.0,0.0,3.0,12.0,106.0,19.0,225.0,0.0,0.0
AL,71.0,1812.0,268.0,7879.0,32.0,3068.0,119.0,4521.0,23.0,1266.0,214.0,6648.0,75.0,4064.0,0.0,26.0
AR,40.0,704.0,434.0,5222.0,72.0,2663.0,141.0,3210.0,69.0,887.0,312.0,4217.0,73.0,2102.0,0.0,14.0
AZ,53.0,2575.0,86.0,3160.0,11.0,1755.0,48.0,2367.0,4.0,636.0,81.0,2577.0,37.0,1985.0,0.0,5.0
CA,102.0,13633.0,120.0,24408.0,278.0,30244.0,147.0,16014.0,31.0,4609.0,88.0,19987.0,86.0,13156.0,0.0,100.0
CO,36.0,844.0,378.0,2321.0,95.0,1442.0,112.0,2957.0,28.0,608.0,190.0,1946.0,70.0,1647.0,1.0,7.0
CT,64.0,2863.0,84.0,6746.0,21.0,2873.0,93.0,5363.0,19.0,1898.0,89.0,3549.0,42.0,1574.0,1.0,14.0
DC,0.0,357.0,2.0,503.0,1.0,336.0,6.0,328.0,0.0,95.0,9.0,366.0,1.0,112.0,0.0,6.0
DE,28.0,428.0,39.0,1066.0,10.0,490.0,21.0,750.0,3.0,266.0,19.0,773.0,16.0,438.0,0.0,1.0
FL,174.0,10120.0,259.0,18355.0,110.0,7851.0,262.0,11835.0,32.0,3374.0,330.0,20558.0,75.0,6828.0,0.0,64.0
GA,67.0,3257.0,220.0,10564.0,31.0,5191.0,150.0,5927.0,29.0,1937.0,165.0,7325.0,41.0,3912.0,2.0,27.0
GU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HI,2.0,57.0,0.0,222.0,16.0,610.0,11.0,439.0,0.0,59.0,1.0,177.0,14.0,604.0,0.0,2.0
IA,69.0,905.0,488.0,4166.0,129.0,3294.0,163.0,4300.0,52.0,866.0,429.0,4287.0,234.0,6055.0,0.0,20.0
ID,17.0,197.0,47.0,925.0,5.0,461.0,19.0,598.0,13.0,134.0,79.0,1093.0,26.0,959.0,0.0,0.0
IL,230.0,6760.0,898.0,15270.0,291.0,7478.0,363.0,12437.0,125.0,3645.0,862.0,11952.0,317.0,7121.0,1.0,51.0
IN,120.0,1918.0,742.0,8378.0,125.0,3082.0,281.0,6478.0,228.0,2442.0,547.0,6750.0,169.0,3238.0,2.0,29.0
KS,28.0,699.0,217.0,2406.0,59.0,1770.0,83.0,2617.0,29.0,478.0,246.0,2770.0,134.0,3388.0,0.0,3.0
KY,59.0,1487.0,505.0,5216.0,56.0,1746.0,182.0,3580.0,95.0,941.0,308.0,4158.0,71.0,2220.0,0.0,13.0
LA,24.0,2623.0,73.0,8346.0,11.0,1400.0,117.0,5517.0,20.0,1888.0,78.0,6554.0,15.0,1477.0,0.0,34.0
MA,87.0,4685.0,76.0,11042.0,59.0,4596.0,164.0,8516.0,15.0,3623.0,119.0,6938.0,56.0,2317.0,0.0,23.0
MD,45.0,2355.0,85.0,5671.0,10.0,1869.0,121.0,4891.0,11.0,1308.0,75.0,4144.0,34.0,1756.0,2.0,28.0
ME,1.0,66.0,7.0,308.0,16.0,711.0,40.0,1168.0,0.0,55.0,6.0,231.0,59.0,1213.0,0.0,0.0
MI,143.0,3667.0,293.0,5449.0,122.0,3371.0,453.0,14057.0,82.0,1782.0,350.0,6051.0,260.0,8716.0,0.0,36.0
MN,72.0,1500.0,250.0,3450.0,135.0,2719.0,169.0,4955.0,43.0,963.0,433.0,4316.0,351.0,7030.0,1.0,21.0
MO,158.0,1854.0,903.0,10008.0,123.0,3080.0,249.0,6504.0,119.0,1511.0,660.0,7403.0,145.0,3865.0,0.0,20.0
MS,39.0,901.0,129.0,5439.0,32.0,2514.0,73.0,2623.0,17.0,1056.0,100.0,4167.0,18.0,2515.0,0.0,30.0
MT,20.0,135.0,47.0,428.0,24.0,288.0,33.0,618.0,17.0,83.0,71.0,509.0,36.0,843.0,0.0,2.0
NC,106.0,2375.0,433.0,8499.0,60.0,3852.0,227.0,6979.0,69.0,1659.0,341.0,6396.0,105.0,3841.0,0.0,35.0
ND,13.0,152.0,135.0,1069.0,48.0,412.0,55.0,1258.0,25.0,231.0,240.0,1938.0,75.0,1873.0,0.0,7.0
NE,28.0,446.0,189.0,1486.0,49.0,1106.0,85.0,2296.0,29.0,304.0,219.0,1832.0,132.0,2896.0,0.0,2.0
NH,1.0,220.0,8.0,1071.0,16.0,1017.0,39.0,1493.0,3.0,281.0,16.0,643.0,42.0,1369.0,0.0,2.0
NJ,117.0,6463.0,99.0,13139.0,20.0,3989.0,127.0,9251.0,11.0,4127.0,156.0,8120.0,22.0,2233.0,1.0,102.0
NM,22.0,522.0,144.0,934.0,32.0,243.0,32.0,1015.0,5.0,203.0,106.0,774.0,26.0,268.0,0.0,2.0
NV,35.0,997.0,35.0,1354.0,10.0,1243.0,25.0,813.0,7.0,223.0,30.0,1220.0,11.0,1029.0,0.0,6.0
NY,63.0,10116.0,164.0,14102.0,35.0,7611.0,440.0,17533.0,21.0,4756.0,332.0,16381.0,45.0,4399.0,0.0,56.0
OH,180.0,4288.0,1049.0,12173.0,245.0,5578.0,378.0,12991.0,84.0,2465.0,770.0,9484.0,185.0,4838.0,0.0,27.0
OK,58.0,1044.0,273.0,3515.0,44.0,1520.0,118.0,2611.0,44.0,516.0,248.0,2890.0,55.0,2234.0,3.0,17.0
OR,9.0,577.0,12.0,570.0,10.0,888.0,90.0,2230.0,0.0,112.0,30.0,657.0,12.0,1130.0,1.0,1.0
PA,122.0,4939.0,610.0,16008.0,249.0,10862.0,972.0,27803.0,102.0,4367.0,462.0,9887.0,377.0,9682.0,0.0,26.0
PR,0.0,3.0,0.0,10.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,13.0,0.0,0.0
RI,13.0,749.0,38.0,2013.0,38.0,779.0,26.0,1478.0,4.0,593.0,45.0,1288.0,25.0,607.0,0.0,7.0
SC,56.0,1998.0,153.0,6111.0,18.0,2896.0,87.0,3836.0,21.0,1099.0,110.0,4089.0,26.0,2667.0,3.0,20.0
SD,7.0,196.0,227.0,976.0,42.0,580.0,62.0,1104.0,25.0,212.0,184.0,1205.0,66.0,1453.0,0.0,4.0
TN,104.0,1859.0,404.0,5948.0,64.0,2256.0,213.0,6026.0,70.0,897.0,396.0,6315.0,74.0,2315.0,0.0,11.0
TX,335.0,7499.0,1027.0,24656.0,72.0,7301.0,401.0,13863.0,138.0,4296.0,759.0,19194.0,129.0,6795.0,1.0,78.0
UT,70.0,865.0,86.0,956.0,6.0,605.0,22.0,652.0,6.0,177.0,101.0,1294.0,16.0,834.0,1.0,4.0
VA,66.0,1697.0,249.0,5664.0,107.0,3285.0,154.0,4334.0,45.0,1193.0,229.0,4147.0,98.0,3454.0,0.0,19.0
VT,1.0,25.0,0.0,101.0,7.0,337.0,15.0,501.0,0.0,33.0,1.0,73.0,14.0,551.0,0.0,0.0
WA,25.0,1115.0,60.0,2335.0,36.0,1944.0,153.0,2666.0,10.0,538.0,60.0,1882.0,87.0,2442.0,0.0,8.0
WI,109.0,1184.0,592.0,3044.0,105.0,2292.0,219.0,5228.0,100.0,487.0,631.0,4001.0,293.0,5760.0,1.0,9.0
WV,8.0,199.0,165.0,1412.0,24.0,1168.0,49.0,1878.0,10.0,193.0,106.0,1044.0,45.0,1239.0,0.0,1.0
WY,9.0,44.0,55.0,218.0,18.0,154.0,13.0,388.0,6.0,28.0,83.0,261.0,22.0,346.0,0.0,3.0
